Temperature - (Celsius), Year, Statistics, Country, ISO3
21.2273, 1991, Jan Average, Vietnam, VNM
21.6544, 1991, Feb Average, Vietnam, VNM
23.8754, 1991, Mar Average, Vietnam, VNM
26.1502, 1991, Apr Average, Vietnam, VNM
27.3938, 1991, May Average, Vietnam, VNM
27.5189, 1991, Jun Average, Vietnam, VNM
27.3454, 1991, Jul Average, Vietnam, VNM
26.8707, 1991, Aug Average, Vietnam, VNM
26.6773, 1991, Sep Average, Vietnam, VNM
24.7122, 1991, Oct Average, Vietnam, VNM
22.4578, 1991, Nov Average, Vietnam, VNM
21.3028, 1991, Dec Average, Vietnam, VNM
18.908, 1992, Jan Average, Vietnam, VNM
20.328, 1992, Feb Average, Vietnam, VNM
22.5879, 1992, Mar Average, Vietnam, VNM
26.6464, 1992, Apr Average, Vietnam, VNM
27.7148, 1992, May Average, Vietnam, VNM
27.4897, 1992, Jun Average, Vietnam, VNM
26.9955, 1992, Jul Average, Vietnam, VNM
27.3819, 1992, Aug Average, Vietnam, VNM
26.7549, 1992, Sep Average, Vietnam, VNM
23.8152, 1992, Oct Average, Vietnam, VNM
21.6572, 1992, Nov Average, Vietnam, VNM
21.3708, 1992, Dec Average, Vietnam, VNM
19.0468, 1993, Jan Average, Vietnam, VNM
21.1561, 1993, Feb Average, Vietnam, VNM
22.6378, 1993, Mar Average, Vietnam, VNM
25.4547, 1993, Apr Average, Vietnam, VNM
27.1778, 1993, May Average, Vietnam, VNM
27.9623, 1993, Jun Average, Vietnam, VNM
27.7808, 1993, Jul Average, Vietnam, VNM
27.0975, 1993, Aug Average, Vietnam, VNM
26.452, 1993, Sep Average, Vietnam, VNM
24.4148, 1993, Oct Average, Vietnam, VNM
22.9434, 1993, Nov Average, Vietnam, VNM
20.2363, 1993, Dec Average, Vietnam, VNM
20.9358, 1994, Jan Average, Vietnam, VNM
22.3489, 1994, Feb Average, Vietnam, VNM
21.2142, 1994, Mar Average, Vietnam, VNM
26.7231, 1994, Apr Average, Vietnam, VNM
27.4476, 1994, May Average, Vietnam, VNM
26.9345, 1994, Jun Average, Vietnam, VNM
26.9406, 1994, Jul Average, Vietnam, VNM
26.9123, 1994, Aug Average, Vietnam, VNM
26.2878, 1994, Sep Average, Vietnam, VNM
24.2498, 1994, Oct Average, Vietnam, VNM
23.2759, 1994, Nov Average, Vietnam, VNM
22.2356, 1994, Dec Average, Vietnam, VNM
19.9022, 1995, Jan Average, Vietnam, VNM
20.0474, 1995, Feb Average, Vietnam, VNM
22.469, 1995, Mar Average, Vietnam, VNM
26.442, 1995, Apr Average, Vietnam, VNM
27.1962, 1995, May Average, Vietnam, VNM
27.8331, 1995, Jun Average, Vietnam, VNM
27.2383, 1995, Jul Average, Vietnam, VNM
26.872, 1995, Aug Average, Vietnam, VNM
26.4151, 1995, Sep Average, Vietnam, VNM
25.0982, 1995, Oct Average, Vietnam, VNM
22.4953, 1995, Nov Average, Vietnam, VNM
20.2236, 1995, Dec Average, Vietnam, VNM
20.0397, 1996, Jan Average, Vietnam, VNM
19.4549, 1996, Feb Average, Vietnam, VNM
22.4858, 1996, Mar Average, Vietnam, VNM
24.1817, 1996, Apr Average, Vietnam, VNM
26.3431, 1996, May Average, Vietnam, VNM
27.3677, 1996, Jun Average, Vietnam, VNM
27.2075, 1996, Jul Average, Vietnam, VNM
27.0718, 1996, Aug Average, Vietnam, VNM
26.2145, 1996, Sep Average, Vietnam, VNM
25.1208, 1996, Oct Average, Vietnam, VNM
23.4621, 1996, Nov Average, Vietnam, VNM
20.4878, 1996, Dec Average, Vietnam, VNM
20.0679, 1997, Jan Average, Vietnam, VNM
20.3983, 1997, Feb Average, Vietnam, VNM
22.5099, 1997, Mar Average, Vietnam, VNM
24.585, 1997, Apr Average, Vietnam, VNM
27.2418, 1997, May Average, Vietnam, VNM
27.6788, 1997, Jun Average, Vietnam, VNM
27.0407, 1997, Jul Average, Vietnam, VNM
27.3178, 1997, Aug Average, Vietnam, VNM
25.6867, 1997, Sep Average, Vietnam, VNM
25.6262, 1997, Oct Average, Vietnam, VNM
23.914, 1997, Nov Average, Vietnam, VNM
22.3843, 1997, Dec Average, Vietnam, VNM
21.4808, 1998, Jan Average, Vietnam, VNM
22.44, 1998, Feb Average, Vietnam, VNM
23.7806, 1998, Mar Average, Vietnam, VNM
26.7605, 1998, Apr Average, Vietnam, VNM
27.9837, 1998, May Average, Vietnam, VNM
27.9911, 1998, Jun Average, Vietnam, VNM
27.817, 1998, Jul Average, Vietnam, VNM
27.7479, 1998, Aug Average, Vietnam, VNM
26.7175, 1998, Sep Average, Vietnam, VNM
25.7074, 1998, Oct Average, Vietnam, VNM
